"entite_adm","code_ins","revenu_moyen_decla","revenu_median_decla"
"Belgique",01000,56157,45751
"Région flamande",02000,57499,47216
"Région wallonne",03000,54611,45155
"Communauté germanophone",03001,53644,43516
"Région de Bruxelles-Capitale",04000,50406,35151
"Province d'Anvers",10000,56723,45996
"Arrondissement d'Anvers",11000,56758,44667
"Aartselaar",11001,65730,52062
"Anvers",11002,48512,38035
"Boechout",11004,67677,55127
"Boom",11005,52252,41870
"Borsbeek",11007,52570,43586
"Brasschaat",11008,66971,51254
"Brecht",11009,59681,49821
"Edegem",11013,69415,53689
"Essen",11016,54353,45558
"Hemiksem",11018,56229,48327
"Hove (Anvers)",11021,81861,61484
"Kalmthout",11022,60347,50936
"Kapellen (Anvers)",11023,69268,53516
"Kontich",11024,68790,55715
"Lint",11025,69586,56355
"Mortsel",11029,64121,53658
"Niel",11030,53019,47397
"Ranst",11035,63274,53853
"Rumst",11037,63942,53415
"Schelle",11038,62136,51525
"Schilde",11039,77157,54417
"Schoten",11040,63854,49856
"Stabroek",11044,59913,50025
"Wijnegem",11050,58789,48741
"Wommelgem",11052,59072,49166
"Wuustwezel",11053,55756,47249
"Zandhoven",11054,57823,49058
"Zoersel",11055,63946,52363
"Zwijndrecht",11056,56164,46710
"Malle",11057,58962,49254
"Arrondissement de Malines",12000,59012,48865
"Berlaar",12002,56025,47150
"Bonheiden",12005,73738,58289
"Bornem",12007,59866,49521
"Duffel",12009,61719,50986
"Heist-op-den-Berg",12014,55582,47794
"Lierre",12021,57078,46396
"Malines",12025,58240,47689
"Nijlen",12026,57050,48204
"Putte",12029,58049,48794
"Sint-Katelijne-Waver",12035,63269,52705
"Willebroek",12040,54881,45399
"Puurs-Sint-Amands",12041,62343,52884
"Arrondissement de Turnhout",13000,55041,46408
"Arendonk",13001,50937,45167
"Baerle-Duc",13002,47070,40717
"Balen",13003,52045,45671
"Beerse",13004,58286,49175
"Dessel",13006,51874,43785
"Geel",13008,58595,49390
"Grobbendonk",13010,58327,48066
"Herentals",13011,55545,46632
"Herenthout",13012,51535,44265
"Herselt",13013,53614,45915
"Hoogstraten",13014,53261,43683
"Hulshout",13016,55391,47049
"Kasterlee",13017,59019,48273
"Lille",13019,55612,47399
"Meerhout",13021,53068,45750
"Merksplas",13023,57300,47208
"Mol",13025,56066,46903
"Olen",13029,55576,48078
"Oud-Turnhout",13031,60176,48727
"Ravels",13035,50591,43310
"Retie",13036,55242,45987
"Rijkevorsel",13037,52319,44930
"Turnhout",13040,50714,42519
"Vorselaar",13044,56544,47984
"Vosselaar",13046,62097,52769
"Westerlo",13049,55714,47440
"Laakdal",13053,52903,45980
"Province du Brabant flamand",20001,66406,52773
"Province du Brabant wallon",20002,69393,54471
"Arrondissement de Bruxelles-Capitale",21000,50406,35151
"Anderlecht",21001,38299,31555
"Auderghem",21002,73858,54979
"Berchem-Sainte-Agathe",21003,49685,39558
"Bruxelles",21004,43055,31374
"Etterbeek",21005,55664,39820
"Evere",21006,45341,37321
"Forest (Bruxelles-Capitale)",21007,48942,35201
"Ganshoren",21008,45765,36877
"Ixelles",21009,68772,41772
"Jette",21010,46440,37520
"Koekelberg",21011,41602,32293
"Molenbeek-Saint-Jean",21012,34788,28421
"Saint-Gilles",21013,44638,30448
"Saint-Josse-ten-Noode",21014,31613,25063
"Schaerbeek",21015,41256,30127
"Uccle",21016,79040,49510
"Watermael-Boitsfort",21017,74208,52610
"Woluwe-Saint-Lambert",21018,68188,50817
"Woluwe-Saint-Pierre",21019,87853,58449
"Arrondissement de Hal-Vilvorde",23000,66206,52070
"Asse",23002,61875,48652
"Beersel",23003,69451,54272
"Biévène",23009,62534,53827
"Dilbeek",23016,66665,52775
"Gammerages",23023,62586,54431
"Gooik",23024,63772,53454
"Grimbergen",23025,67068,51386
"Hal (Hal-Vilvorde)",23027,58004,49353
"Herne",23032,65141,54458
"Hoeilaart",23033,78342,59804
"Kampenhout",23038,72354,58243
"Kapelle-op-den-Bos",23039,63233,52562
"Liedekerke",23044,55791,46988
"Londerzeel",23045,62972,53262
"Machelen (Hal-Vilvorde)",23047,51050,43693
"Meise",23050,73287,55104
"Merchtem",23052,64889,52766
"Opwijk",23060,66668,55418
"Overijse",23062,83327,60826
"Pepingen",23064,67393,56420
"Sint-Pieters-Leeuw",23077,55740,45747
"Steenokkerzeel",23081,66265,55405
"Ternat",23086,64903,54344
"Vilvorde",23088,54651,44648
"Zaventem",23094,63117,49155
"Zemst",23096,72776,59851
"Roosdaal",23097,64664,54594
"Drogenbos",23098,51868,42570
"Kraainem",23099,93509,64232
"Linkebeek",23100,77136,59006
"Rhode-Saint-Genèse",23101,84380,58974
"Wemmel",23102,67787,48879
"Wezembeek-Oppem",23103,89188,66952
"Lennik",23104,69249,54115
"Affligem",23105,66718,52977
"Arrondissement de Louvain",24000,66648,53572
"Aarschot",24001,57589,48499
"Begijnendijk",24007,60180,50297
"Bekkevoort",24008,59422,50140
"Bertem",24009,74257,59576
"Bierbeek",24011,73580,61898
"Boortmeerbeek",24014,70693,56820
"Boutersem",24016,69924,58941
"Diest",24020,57866,46851
"Geetbets",24028,52193,46176
"Haacht",24033,67152,55066
"Herent",24038,78254,62950
"Hoegaarden",24041,67795,58592
"Holsbeek",24043,69833,59603
"Huldenberg",24045,74861,58193
"Keerbergen",24048,79581,58526
"Kortenaken",24054,55328,47593
"Kortenberg",24055,72176,58756
"Landen",24059,58342,49526
"Louvain",24062,69707,56582
"Lubbeek",24066,72899,58615
"Oud-Heverlee",24086,82289,63630
"Rotselaar",24094,72056,58627
"Tervuren",24104,85827,62194
"Tirlemont",24107,56441,46739
"Tremelo",24109,63208,51273
"Léau",24130,55203,46353
"Linter",24133,56529,49677
"Montaigu-Zichem",24134,54994,45822
"Tielt-Winge",24135,61928,51232
"Glabbeek",24137,62087,54820
"Arrondissement de Nivelles",25000,69393,54471
"Beauvechain",25005,70377,56064
"Braine-l’Alleud",25014,69207,56467
"Braine-le-Château",25015,65857,54248
"Chaumont-Gistoux",25018,80428,62342
"Court-Saint-Etienne",25023,66742,56337
"Genappe",25031,70585,54517
"Grez-Doiceau",25037,75014,55734
"Incourt",25043,71538,58502
"Ittre",25044,64463,54596
"Jodoigne",25048,65144,52008
"La Hulpe",25050,79151,56998
"Mont-Saint-Guibert",25068,71392,60192
"Nivelles",25072,65422,53785
"Perwez (Nivelles)",25084,66766,55279
"Rixensart",25091,77586,58704
"Tubize",25105,51270,43855
"Villers-la-Ville",25107,67928,56528
"Waterloo",25110,79782,56586
"Wavre",25112,65976,51547
"Chastre",25117,72621,62079
"Hélécine",25118,58840,51374
"Lasne",25119,89097,59106
"Orp-Jauche",25120,62224,52241
"Ottignies-Louvain-la-Neuve",25121,69286,54198
"Ramillies",25122,64240,55749
"Rebecq",25123,57630,49648
"Walhain",25124,74093,62248
"Province de Flandre occidentale",30000,54115,46087
"Arrondissement de Bruges",31000,58135,48082
"Beernem",31003,56151,49655
"Blankenberge",31004,48415,39295
"Bruges",31005,57721,48900
